Channel,Relevant_Videos
alexandregarciaoficial,142
anacampagnolo1,28
andrejanonesbr,55
andreroncaglia,28
antoniolopes57,47
artedaguerra,339
assimdisseojoao,59
averdadequemuitosnaoconhec960,43
bandjornalismo,3414
bastidoresdobrasil,43
bemvindosequeirasassarico,204
biakicis,62
bobfernandesoficial,24
bolsonaropistola,234
brasil247,1768
brasilagoraoficial,9
brasildefato,521
brasilparalelo,297
caiocoppolla,28
canaldoruschel,54
canalhipocritas,40
canalmarcoantoniovilla,101
carlosnbolsonaro,36
chavosodausp,19
claysonfelizola,78
cnnbrasil,6901
convincentedaverdade,124
cortesdohistoriapublica,173
danielalvarenga05,0
dextrajornalismo,82
deyconsilva,171
diretoaosfatos,42
dwbrasil,115
eduardobolsonarosp,91
eduardomoreira,357
estadao,1073
falomesmoo,67
felintomotovlog,87
ferrezoficial,29
flaviobolsonaro,326
focodobrasil,95
folha,147
folhapoliticaoficial,758
franciscomellooficial,218
fredfredrc,0
g1globo,621
galasfeios,215
gazetadopovo,168
guilhermeboulosoficial,133
gustavogayer,13
gutozacariasmbl,129
henrybugalho,38
historiacabeluda,92
historiapublicaoficial,0
humbertomatos,26
ideiasradicais,105
informabrasiljr,0
institutoconhecimentoliberta,371
jbolsonaro,95
jonesmanoel,64
jornaldacidadeo,1
jornaldarecord,2288
jornalismotvcultura,2774
jornaloglobo,335
jovempannews,4591
kimkataguiri,234
kimpaim,92
lulaoficial,606
mamaefalei,89
marcelvanhattemoficial,126
maurofagundes,102
mblivetv,54
meteorobrasil,414
midianinjaoficial,325
mitonatv,190
mylaura_m,2
nexojornalbr,83
nikolasferreirao,25
noalvo,120
normose_,15
noticiasnewsnn,110
oantagonista,924
ohistoriadoroficial,224
ospingosnosis,629
patinhadepano,118
patriaedefesa,185
paulamarisalive,201
plantaobrasil,751
poder360,2597
pontodevistaluizalberto,13
portaldojose,169
ptbrasil,620
quebrandootabu,69
redetvt,2131
revistaoeste,259
revistapiaui,65
rodolfodelmond,219
rubinhonunessp,209
samuelborelli,47
sbtnews,3293
silasmalafaiaoficial,122
starkerbar,15
teatualizei,17
temperodrag,3
teseonze,9
theinterceptbrasil,37
tiagosampaioad,147
tvafiadaoficial,195
tvboitempo,46
uol,5272
veniltonmatos,54
verdadepoliticabr,75
vistapatria,136
